Event Name,Team Name,Leader,Team Members
Reel-o-logy,Patronus1,,
Reel-o-logy,xpecto123,,
Reel-o-logy,RAIN,"{""Name"":""Rahul Singh"",""Email"":""rahsngh2020@gmail.com"",""PhNo."":2123456789}",
Reel-o-logy,Reelers,"{""Name"":""Ashutosh Purohit"",""Email"":""purohitashutosh987@gmail.com"",""PhNo."":9876543210}",
Reel-o-logy,Bakradeep,"{""Name"":""Lootera Singh"",""Email"":""singhlootera123@gmail.com"",""PhNo."":8171877709}","{""Name"":""Owo Salons"",""Email"":""owosalons@gmail.com"",""PhNo."":9876543210}"
Reel-o-logy,hhh,"{""Name"":""Owo Salons"",""Email"":""owosalons@gmail.com"",""PhNo."":9876543210}","{""Name"":""xpect O"",""Email"":""oxpect13@gmail.com"",""PhNo."":9785634120}"
Reel-o-logy,Reelers123,"{""Name"":""Ashutosh Purohit"",""Email"":""purohitashutosh987@gmail.com"",""PhNo."":9876543210}",
Reel-o-logy,Galactic123,"{""Name"":""Ashutosh Purohit"",""Email"":""purohitashutosh987@gmail.com"",""PhNo."":9876543210}",
Reel-o-logy,zioni,"{""Name"":""Ashutosh Purohit"",""Email"":""purohitashutosh987@gmail.com"",""PhNo."":9876543210}",
Reel-o-logy,trfic123,"{""Name"":""Ashutosh Purohit"",""Email"":""purohitashutosh987@gmail.com"",""PhNo."":9876543210}","{""Name"":""Zen Bot"",""Email"":""zenbot2020covid@gmail.com"",""PhNo."":1234567890},{""Name"":""xpect O"",""Email"":""oxpect13@gmail.com"",""PhNo."":9785634120}"
Reel-o-logy,FElix,"{""Name"":""Rahul Singh"",""Email"":""rahsngh2020@gmail.com"",""PhNo."":2123456789}","{""Name"":""Tushar Rao"",""Email"":""techytchannel.tusharrao@gmail.com"",""PhNo."":2123456789},{""Name"":""Xpecto IIT Mandi"",""Email"":""team@xpecto.tech"",""PhNo."":2123456789}"
Reel-o-logy,nat,"{""Name"":""Rahul Singh"",""Email"":""rahsngh2020@gmail.com"",""PhNo."":2123456789}",
Reel-o-logy,wertyq,"{""Name"":""Rahul Singh"",""Email"":""rahsngh2020@gmail.com"",""PhNo."":2123456789}",
